latitude,longitude,brightness,scan,track,acq_date,confidence,frp,type
-22.9365,114.0815,360.9,1.2,1.1,1/1/2023,100,82.6,0
-21.0228,116.4892,367.5,1.9,1.4,1/1/2023,100,212,0
-21.0195,116.5076,361.6,1.9,1.4,1/1/2023,100,165.5,0
-21.0074,116.505,385.4,1.9,1.4,1/1/2023,100,387.9,0
-21.0207,116.4318,378.3,1.9,1.3,1/1/2023,100,304.2,0
-20.9919,116.5211,366.3,1.9,1.4,1/1/2023,100,208.4,0
-21.002,116.4661,380.7,1.9,1.4,1/1/2023,100,326.3,0
-21.0053,116.4478,389.7,1.9,1.4,1/1/2023,100,431.2,0
-20.9866,116.4816,370.9,1.9,1.4,1/1/2023,100,235.7,0
-20.9711,116.4976,371.7,1.9,1.4,1/1/2023,100,257.4,0
-21.6683,120.6162,321,1,1,1/1/2023,100,19.1,0
-21.2239,117.9283,360.1,2.1,1.4,2/1/2023,100,184.2,0
-21.8302,118.7395,343.9,1.6,1.2,3/1/2023,100,92.4,0
-21.8163,118.7264,350.1,1.6,1.2,3/1/2023,100,117.5,0
-21.8274,118.7242,347.7,1.6,1.2,3/1/2023,100,107.8,0
-30.4807,150.6225,360,1.4,1.2,4/1/2023,100,113.1,0
-33.6622,115.9612,335.7,1.7,1.3,4/1/2023,100,83.6,0
-33.6487,115.9443,324,1.7,1.3,4/1/2023,100,50.5,0
-33.6603,115.9427,354.9,1.7,1.3,4/1/2023,100,162.8,0
-31.8737,148.8808,378.5,1,1,7/1/2023,100,141.7,0
-28.0213,151.049,363.9,1,1,9/1/2023,100,83.4,0
-22.9801,147.3201,370.3,1.1,1,9/1/2023,100,110.5,0
-22.9815,147.3098,370.4,1.1,1,9/1/2023,100,111.1,0
-22.9695,147.3289,376.6,1.1,1,9/1/2023,100,134.2,0
-22.4992,146.2565,384.8,1.2,1.1,9/1/2023,100,193.2,0
-22.4896,146.255,361.1,1.2,1.1,9/1/2023,100,86.8,0
-22.4785,146.2648,391.7,1.1,1.1,9/1/2023,100,229.6,0
-21.3568,117.7498,383.7,1.9,1.4,9/1/2023,100,381.8,0
-21.3588,117.7314,389.2,1.9,1.4,9/1/2023,100,456.8,0
-21.3446,117.7479,365.1,1.9,1.4,9/1/2023,100,206.2,0
-21.3485,117.7118,368.4,1.9,1.4,9/1/2023,100,249.5,0
-21.3529,117.7423,410.2,1.9,1.4,9/1/2023,100,779.9,0
-21.3549,117.7241,369.6,1.9,1.4,9/1/2023,100,252.7,0
-21.3447,117.7047,363.6,1.9,1.4,9/1/2023,100,209.8,0
-21.3305,117.7208,361.4,1.9,1.4,9/1/2023,100,182.1,0
-21.3325,117.703,371.2,1.9,1.4,9/1/2023,100,266.8,0
-21.3224,117.6819,437,1.9,1.4,9/1/2023,100,1422.8,0
-21.3245,117.663,394.1,2,1.4,9/1/2023,100,538.5,0
-21.294,117.8276,364.3,1.9,1.3,9/1/2023,100,179.5,0
-33.6105,116.0792,400.3,1,1,10/1/2023,100,239.8,0
-33.6135,116.0578,412.1,1,1,10/1/2023,100,318.3,0
-33.603,116.0666,376.5,1,1,10/1/2023,100,123.6,0
-33.5846,115.88,393.9,1,1,10/1/2023,100,202.2,0
-33.5861,115.8692,408,1,1,10/1/2023,100,288.3,0
-34.6769,118.414,373.3,1.1,1,10/1/2023,100,124.7,0
-34.6787,118.4025,396.9,1.1,1,10/1/2023,100,242.4,0
